success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,optimizer_score,pareto,percentile_score,qbar_violation_pa,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,1.4637060817260212,50.90112223349002,149098.87776650998,5.190042182203384,8.899999999999991,19665.269099800957,10.597044532238058,51.0,0.0,0,-0.4884537152347548,False,True,2999.5115462847652,0.0,-1.3798001528319626,5.4590692550186475,5.0,1.3798001528319626,1.446640101422136,0.620253164556962,0.40507074265512355,0.0,0.8734177215189873,0.0,point_mass,13.493806846503473,True,0.7468354430379747,0.0,50.8718481118555,-1.3798001528319626,-9.265854258363778,522.409262580603,2209.5807977304403
True,none,1.4637060817260212,50.90112223349002,149098.87776650998,5.190042182203384,8.899999999999991,19665.269099800957,10.597044532238058,45.0,0.0,0,-0.4884537152347548,False,True,2999.5115462847652,0.0,-1.3798001528319626,5.4590692550186475,4.0,1.3798001528319626,1.446640101422136,0.5949367088607596,0.40507074265512355,0.0,0.8607594936708861,0.0,point_mass,13.493806846503473,True,0.7278481012658229,0.0,50.8718481118555,-1.3798001528319626,-9.265854258363778,522.409262580603,2209.5807977304403
True,none,4.6636450367975,53.36079194746568,146639.20805253432,5.100494869352237,8.949999999999992,19446.187197945073,10.597044532238058,68.0,0.0,0,-4.650605878337956,False,True,2995.349394121662,0.0,-0.3484967627029034,5.489738183417629,6.0,0.3484967627029034,1.4,0.7974683544303798,0.4062055754154408,0.0,0.6582278481012658,0.0,point_mass,16.105713442622726,True,0.7278481012658228,0.0,53.26751904672973,-0.3484967627029034,-9.354476751444983,518.104407142587,2172.7583461391155
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,30.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,3.0,0.0,1.446640101422136,0.44303797468354433,0.3986783135898924,0.0,0.9873417721518988,0.0,point_mass,13.45522150702611,True,0.7151898734177216,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,10.405368177894035,69.36602176572741,130633.9782342726,4.468578785400979,9.399999999999999,17970.28053772525,10.326465812382772,24.0,0.0,0,-4.393670484244922,False,True,2995.606329515755,0.0,-9.432250346200785,5.91683554762173,2.0,9.432250346200785,1.4,0.9620253164556962,0.449907104237184,0.0,0.4177215189873418,0.0,point_mass,17.970745450760173,True,0.689873417721519,0.0,69.15791440216952,-9.432250346200785,-9.570138528812251,488.704795758071,1911.7319720984383
True,none,9.598960865401471,67.23704127090753,132762.95872909247,4.545857077104846,9.349999999999998,18172.33827974386,10.326465812382772,21.0,0.0,0,0.030848116321521957,False,True,3000.0308481163215,0.0,-9.598911297080955,5.885363018113104,2.0,9.598911297080955,1.4217772971323375,0.9113924050632911,0.4495250638881423,0.0,0.44303797468354433,0.0,point_mass,17.68574295450921,True,0.6772151898734178,0.0,67.0450620535995,-9.598911297080955,-9.498496569488386,492.66421769226133,1943.565591416458
True,none,9.598960865401471,67.23704127090753,132762.95872909247,4.545857077104846,9.349999999999998,18172.33827974386,10.326465812382772,13.0,0.0,0,0.030848116321521957,False,True,3000.0308481163215,0.0,-9.598911297080955,5.885363018113104,1.0,9.598911297080955,1.4217772971323375,0.8860759493670887,0.4495250638881423,0.0,0.430379746835443,0.0,point_mass,17.68574295450921,True,0.6582278481012658,0.0,67.0450620535995,-9.598911297080955,-9.498496569488386,492.66421769226133,1943.565591416458
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,58.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,5.0,0.0,1.446640101422136,0.31645569620253167,0.3986783135898924,0.0,1.0,0.0,point_mass,13.45522150702611,True,0.6582278481012658,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,60.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,6.0,0.0,1.446640101422136,0.3417721518987342,0.3986783135898924,0.0,0.9620253164556962,0.0,point_mass,13.45522150702611,True,0.6518987341772152,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,63.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,6.0,0.0,1.446640101422136,0.36708860759493667,0.3986783135898924,0.0,0.9240506329113924,0.0,point_mass,13.45522150702611,True,0.6455696202531646,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,70.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,7.0,0.0,1.446640101422136,0.379746835443038,0.3986783135898924,0.0,0.8987341772151899,0.0,point_mass,13.45522150702611,True,0.639240506329114,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,71.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,7.0,0.0,1.446640101422136,0.3924050632911392,0.3986783135898924,0.0,0.8860759493670887,0.0,point_mass,13.45522150702611,True,0.639240506329114,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,28.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,2.0,0.0,1.446640101422136,0.35443037974683544,0.3986783135898924,0.0,0.9113924050632911,0.0,point_mass,13.45522150702611,True,0.6329113924050633,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,61.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,6.0,0.0,1.446640101422136,0.2911392405063291,0.3986783135898924,0.0,0.9367088607594937,0.0,point_mass,13.45522150702611,True,0.6139240506329113,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,40.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,4.0,0.0,1.446640101422136,0.25316455696202533,0.3986783135898924,0.0,0.9493670886075949,0.0,point_mass,13.45522150702611,True,0.6012658227848101,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,17.452264867415,70.44320631440372,129556.79368559628,4.440325003516191,9.399999999999999,17860.0,10.326465812382772,27.0,0.0,0,-15.097330563760806,False,True,2984.902669436239,0.0,-8.75512186385442,5.91683554762173,2.0,8.75512186385442,1.4217772971323375,0.9746835443037974,0.4491666266747133,0.0,0.21518987341772156,0.0,point_mass,24.74578392025444,True,0.5949367088607596,0.0,70.09416101705543,-8.75512186385442,-9.574405741650292,486.7122625156144,1900.0
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,50.0,0.0,0,-0.19359447708529842,False,True,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,5.0,0.0,1.446640101422136,0.21518987341772156,0.3986783135898924,0.0,0.9746835443037974,0.0,point_mass,13.45522150702611,True,0.5949367088607596,0.0,46.860833289546,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
