case,replicate,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,pareto,percentile_score,qbar_violation_pa,robustness_margin_percentile_score,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
9.0,5.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,2.6,0.9325842696629214,0.543273484774749,0.0,0.9213483146067416,0.0,point_mass,True,0.902621722846442,0.0,0.8539325842696629,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2000.0
10.0,4.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,2.6,0.9213483146067416,0.543273484774749,0.0,0.898876404494382,0.0,point_mass,True,0.8951310861423222,0.0,0.8651685393258427,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2200.0
11.0,3.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,2.6,0.9101123595505618,0.543273484774749,0.0,0.9325842696629214,0.0,point_mass,True,0.8876404494382023,0.0,0.8202247191011236,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2400.0
12.0,2.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,3.0,0.898876404494382,0.543273484774749,0.0,0.9101123595505618,0.0,point_mass,True,0.8801498127340824,0.0,0.8314606741573034,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2000.0
13.0,1.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,3.0,0.8876404494382022,0.543273484774749,0.0,0.8764044943820225,0.0,point_mass,True,0.8801498127340824,0.0,0.8764044943820225,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2200.0
14.0,0.0,True,none,10.96522582049435,62.582586961742464,137417.41303825754,5.052529371362774,8.999999999999993,19360.93066168854,-0.00892286775120737,0,3.001850417523201,False,True,3003.001850417523,-0.00892286775120737,-10.546325983378424,4.874999999999403,10.546325983378424,3.0,0.8764044943820225,0.543273484774749,0.0,0.8876404494382022,0.0,point_mass,True,0.8689138576779026,0.0,0.8426966292134832,62.36328244533258,-10.546325983378424,-8.263047717586982,515.0721010158533,2400.0
0.0,2.0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,0,-15.682809825208551,False,True,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.9887640449438202,0.4605325527507312,0.0,0.6179775280898876,0.0,point_mass,True,0.8352059925093632,0.0,0.898876404494382,64.05257486652782,1.341036756878232,-8.80749645155422,496.50658472266394,2000.0
1.0,1.0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,0,-15.682809825208551,False,True,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,0.9775280898876404,0.4605325527507312,0.0,0.6067415730337079,0.0,point_mass,True,0.8314606741573035,0.0,0.9101123595505618,64.05257486652782,1.341036756878232,-8.80749645155422,496.50658472266394,2200.0
2.0,0.0,True,none,15.741421204366773,64.36740329061516,135632.59670938484,4.630495162120611,9.249999999999996,18232.283618537793,-0.20841769678112843,0,-15.682809825208551,False,True,2984.3171901747914,-0.20841769678112843,1.341036756878232,5.010416666666053,0.0,1.4,1.0,0.4605325527507312,0.0,0.5955056179775281,0.0,point_mass,True,0.8277153558052435,0.0,0.8876404494382022,64.05257486652782,1.341036756878232,-8.80749645155422,496.50658472266394,2400.0
14.0,3.0,True,none,22.4753685059347,65.03993192136593,134960.06807863407,4.820420216286167,9.199999999999996,18744.230796715492,0.20101762627083736,0,5.449842516014087,False,True,3005.449842516014,0.20101762627083736,-21.803692300666302,4.983333333332723,21.803692300666302,3.0,0.9662921348314607,0.5221951946196988,0.0,0.3707865168539326,0.0,point_mass,True,0.7565543071161048,0.0,0.9325842696629214,64.59042455124724,-21.803692300666302,-8.545879211911393,500.37822852285996,2400.0
12.0,5.0,True,none,22.4753685059347,65.03993192136593,134960.06807863407,4.820420216286167,9.199999999999996,18744.230796715492,0.20101762627083736,0,5.449842516014087,False,True,3005.449842516014,0.20101762627083736,-21.803692300666302,4.983333333332723,21.803692300666302,3.0,0.9438202247191011,0.5221951946196988,0.0,0.348314606741573,0.0,point_mass,True,0.745318352059925,0.0,0.9438202247191011,64.59042455124724,-21.803692300666302,-8.545879211911393,500.37822852285996,2000.0
13.0,4.0,True,none,22.4753685059347,65.03993192136593,134960.06807863407,4.820420216286167,9.199999999999996,18744.230796715492,0.20101762627083736,0,5.449842516014087,False,True,3005.449842516014,0.20101762627083736,-21.803692300666302,4.983333333332723,21.803692300666302,3.0,0.9550561797752809,0.5221951946196988,0.0,0.3595505617977528,0.0,point_mass,True,0.745318352059925,0.0,0.9213483146067416,64.59042455124724,-21.803692300666302,-8.545879211911393,500.37822852285996,2200.0
7.0,2.0,True,none,10.581028476597297,51.07892587578518,148921.07412421482,5.40281523634015,8.79999999999999,20188.436706978417,0.06055669177793591,0,-2.940328800370935,False,True,2997.059671199629,0.06055669177793591,-10.16410168462285,4.766666666666083,10.16410168462285,2.2,0.4606741573033708,0.5025400888855891,0.0,1.0,0.0,point_mass,True,0.6367041198501873,0.0,0.449438202247191,50.867305306253236,-10.16410168462285,-8.080668092990528,525.2923149220602,2200.0
9.0,0.0,True,none,10.581028476597297,51.07892587578518,148921.07412421482,5.40281523634015,8.79999999999999,20188.436706978417,0.06055669177793591,0,-2.940328800370935,False,True,2997.059671199629,0.06055669177793591,-10.16410168462285,4.766666666666083,10.16410168462285,2.6,0.4831460674157304,0.5025400888855891,0.0,0.9775280898876404,0.0,point_mass,True,0.6329588014981273,0.0,0.4382022471910112,50.867305306253236,-10.16410168462285,-8.080668092990528,525.2923149220602,2000.0
8.0,1.0,True,none,10.581028476597297,51.07892587578518,148921.07412421482,5.40281523634015,8.79999999999999,20188.436706978417,0.06055669177793591,0,-2.940328800370935,False,True,2997.059671199629,0.06055669177793591,-10.16410168462285,4.766666666666083,10.16410168462285,2.2,0.4719101123595506,0.5025400888855891,0.0,0.9887640449438202,0.0,point_mass,True,0.6292134831460675,0.0,0.4269662921348315,50.867305306253236,-10.16410168462285,-8.080668092990528,525.2923149220602,2400.0
4.0,5.0,True,none,10.581028476597297,51.07892587578518,148921.07412421482,5.40281523634015,8.79999999999999,20188.436706978417,0.06055669177793591,0,-2.940328800370935,False,True,2997.059671199629,0.06055669177793591,-10.16410168462285,4.766666666666083,10.16410168462285,1.8,0.4382022471910112,0.5025400888855891,0.0,0.9662921348314607,0.0,point_mass,True,0.6254681647940076,0.0,0.4719101123595506,50.867305306253236,-10.16410168462285,-8.080668092990528,525.2923149220602,2200.0
6.0,3.0,True,none,10.581028476597297,51.07892587578518,148921.07412421482,5.40281523634015,8.79999999999999,20188.436706978417,0.06055669177793591,0,-2.940328800370935,False,True,2997.059671199629,0.06055669177793591,-10.16410168462285,4.766666666666083,10.16410168462285,2.2,0.449438202247191,0.5025400888855891,0.0,0.9438202247191011,0.0,point_mass,True,0.6254681647940075,0.0,0.4831460674157304,50.867305306253236,-10.16410168462285,-8.080668092990528,525.2923149220602,2000.0
5.0,4.0,True,none,10.581028476597297,51.07892587578518,148921.07412421482,5.40281523634015,8.79999999999999,20188.436706978417,0.06055669177793591,0,-2.940328800370935,False,True,2997.059671199629,0.06055669177793591,-10.16410168462285,4.766666666666083,10.16410168462285,1.8,0.4269662921348315,0.5025400888855891,0.0,0.9550561797752809,0.0,point_mass,True,0.6142322097378278,0.0,0.4606741573033708,50.867305306253236,-10.16410168462285,-8.080668092990528,525.2923149220602,2400.0
3.0,1.0,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,0,6.69112919237341,False,True,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.8,0.3370786516853933,10.321094925401203,0.0,0.0786516853932584,0.0,point_mass,True,0.4644194756554307,0.0,0.9775280898876404,64.47667937770012,-153.70949362756048,-8.386145321468874,321.3703231109121,2000.0
1.0,3.0,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,0,6.69112919237341,False,True,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.4,0.3146067415730337,10.321094925401203,0.0,0.0674157303370787,0.0,point_mass,True,0.4606741573033708,0.0,1.0,64.47667937770012,-153.70949362756048,-8.386145321468874,321.3703231109121,2200.0
0.0,4.0,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,0,6.69112919237341,False,True,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.4,0.3258426966292135,10.321094925401203,0.0,0.0898876404494382,0.0,point_mass,True,0.45692883895131087,0.0,0.9550561797752809,64.47667937770012,-153.70949362756048,-8.386145321468874,321.3703231109121,2000.0
4.0,0.0,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,0,6.69112919237341,False,True,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.8,0.303370786516854,10.321094925401203,0.0,0.0561797752808989,0.0,point_mass,True,0.44943820224719105,0.0,0.9887640449438202,64.47667937770012,-153.70949362756048,-8.386145321468874,321.3703231109121,2200.0
2.0,2.0,True,none,30.615413951918573,65.0889876567385,134911.0123432615,8.499252762201786,11.60000000000003,23833.382876356278,-0.04514962817845049,0,6.69112919237341,False,True,4013.14266626563,-3.1079756766661313,-153.70949362756048,6.283333333332564,153.70949362756048,1.4,0.2921348314606742,10.321094925401203,0.0,0.0449438202247191,0.0,point_mass,True,0.4344569288389513,0.0,0.9662921348314607,64.47667937770012,-153.70949362756048,-8.386145321468874,321.3703231109121,2400.0
